Taluks,Potato,Tomato,Brinjal,Beans,Cluster Beans,Onion,Green chillies,Total Leafy Vegetables,Total Guard Variety Vegetables,Total_Vegetable_Production,Production_Category
Kamalapura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Yadrami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Shahbadha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Basavakalyan,708.0,5883.0,225.0,260.0,315.0,3403.0,4006.0,2476.0,2781.0,20057.0,Medium
Bhalki,73.0,7730.0,1239.0,1239.0,114.0,2616.0,1615.0,1342.0,3130.0,19098.0,Medium
Aurad,25.0,1184.0,391.0,85.0,0.0,1965.0,827.0,248.0,242.0,4967.0,Low
Bidar,960.0,7097.0,1156.0,248.0,144.0,8362.0,1930.0,1323.0,1601.0,22821.0,Medium
Humnabad,140.0,1407.0,1120.0,196.0,256.0,340.0,952.0,1164.0,1910.0,7485.0,Medium
Chittaguppa,140.0,1407.0,1120.0,196.0,256.0,340.0,952.0,1164.0,1910.0,7485.0,Medium
Kamalanagara,25.0,1184.0,391.0,85.0,0.0,1965.0,827.0,248.0,242.0,4967.0,Low
Hulasuru,141.0,1176.0,451.0,52.0,63.0,680.0,801.0,495.0,556.0,4415.0,Low
Lingasugur,0.0,4425.0,621.0,0.0,105.0,20400.0,1620.0,546.0,410.0,28127.0,Medium
Devdurga,0.0,10664.0,1944.0,180.0,70.0,28060.0,5400.0,1507.0,3919.0,51744.0,High
Raichur,0.0,4870.0,2565.0,96.0,0.0,5198.0,1320.0,404.0,1728.0,16181.0,Medium
Manvi,0.0,1544.0,680.0,67.0,25.0,18746.0,1092.0,235.0,141.0,22530.0,Medium
Sindhanur,0.0,950.0,810.0,180.0,105.0,3300.0,1020.0,571.0,1155.0,8091.0,Medium
Maski,0.0,1921.0,864.0,0.0,0.0,9000.0,504.0,385.0,480.0,13154.0,Medium
Sirivara,0.0,661.0,292.0,29.0,10.0,8034.0,468.0,101.0,60.0,9655.0,Medium
Yelburga,0.0,8734.0,6854.0,418.0,48.0,333765.0,8136.0,1980.0,5247.0,365182.0,High
Kushtagi,0.0,11422.0,4655.0,306.0,0.0,13746.0,5016.0,190.0,12702.0,48037.0,High
Gangavathi,0.0,26782.0,8084.0,0.0,1440.0,12817.0,4046.0,1048.0,2896.0,57113.0,High
Koppal,0.0,23953.0,6325.0,672.0,1986.0,12412.0,12600.0,4004.0,16114.0,78066.0,High
Karatagi,4.5,2196.0,620.0,82.0,6.0,951.5,681.0,84.0,417.5,5042.5,Low
Kukanuru,4.5,2196.0,620.0,82.0,6.0,951.5,681.0,84.0,417.5,5042.5,Low
Kanakagiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Naragund,0.0,40.0,30.0,10.0,6.0,20.0,10.0,23.0,40.0,179.0,Low
Rona,0.0,0.0,0.0,0.0,2.0,217497.0,64149.0,631.0,91.0,282370.0,High
Gadag,0.0,3037.0,543.0,124.0,2.0,80629.0,66550.0,478.0,379.0,151742.0,High
Shirahatti,0.0,1380.0,1350.0,90.0,120.0,18000.0,75.0,60.0,504.0,21579.0,Medium
Mundargi,0.0,1770.0,1380.0,0.0,55.0,47700.0,2400.0,163.0,70.0,53538.0,High
Gajendragad,0.0,140.0,20.0,0.0,0.0,23456.0,1035.0,234.0,113.0,24998.0,Medium
Laxmeshwar,0.0,860.0,486.0,10.0,24.0,12000.0,60.0,90.0,360.0,13890.0,Medium
Dharwad,20674.0,8246.0,3174.0,444.0,82.0,78548.0,7553.0,4528.0,2733.0,125982.0,High
Navalgund,0.0,73.0,98.0,0.0,0.0,165956.0,0.0,1223.0,197.0,167547.0,High
Hubli,14.0,1836.0,1674.0,2.0,17.0,118107.0,0.0,1418.0,793.0,123861.0,High
Kalgatgi,0.0,5913.0,6554.0,17.0,22.0,1.0,4690.0,178.0,317.0,17692.0,Medium
Kundgol,19.0,371.0,827.0,3.0,11.0,9323.0,0.0,171.0,110.0,10835.0,Medium
Hubballi Nagara,20.0,1435.0,910.0,3.0,1.0,7844.0,0.0,759.0,570.0,11542.0,Medium
Alnavara,31.0,28.0,3.0,572.0,0.0,0.0,0.0,48.0,3.0,685.0,Low
Annigeri,0.0,0.0,0.0,0.0,2.0,63942.0,0.0,828.0,218.0,64990.0,High
Karwar,0.0,0.0,9.0,0.0,0.0,0.0,8.0,20.0,46.0,83.0,Low
Joida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Haliyal,0.0,582.0,857.0,16.0,27.0,3.0,727.0,5.0,159.0,2376.0,Low
Yellapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Mundgod,35.0,7.0,8.0,90.0,0.0,0.0,546.0,0.0,13.0,699.0,Low
Sirsi,24.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,2.0,50.0,Low
Ankola,0.0,0.0,34.0,0.0,0.0,0.0,118.0,232.0,59.0,443.0,Low
Kumta,0.0,0.0,219.0,0.0,19.0,1261.0,206.0,88.0,396.0,2189.0,Low
Siddapur,0.0,5.0,0.0,4.0,0.0,0.0,104.0,9.0,89.0,211.0,Low
Honnavar,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,64.0,93.0,Low
Bhatkal,0.0,0.0,6.0,0.0,0.0,9.0,0.0,19.0,17.0,51.0,Low
Dandelli,0.0,3.0,18.0,0.0,0.0,0.0,16.0,0.0,0.0,37.0,Low
Shiggaon,173.0,9374.0,454.0,0.0,0.0,12583.0,5509.0,459.0,73.0,28625.0,High
Savanur,22.0,5167.0,1108.0,30.0,10.0,2485.0,6467.0,80.0,140.0,15509.0,Medium
Hangal,0.0,2507.0,355.0,5.0,5.0,11946.0,12427.0,97.0,75.0,27417.0,Medium
Haveri,0.0,5117.0,4355.0,600.0,230.0,11444.0,24633.0,1316.0,163.0,47858.0,High
Byadagi,0.0,8500.0,480.0,40.0,20.0,575.0,1450.0,900.0,424.0,12389.0,Medium
Hirekerur,0.0,4524.0,831.0,200.0,94.0,69.0,1671.0,0.0,48.0,7437.0,Medium
Ranebennur,35.0,5115.0,4367.0,58.0,42.0,78071.0,127.0,427.0,625.0,88867.0,High
Ratteehalli,0.0,3576.0,208.0,50.0,41.0,429.0,506.0,0.0,317.0,5127.0,Low
Hadagali,0.0,5355.0,500.0,100.0,275.0,37000.0,1540.0,970.0,6707.0,52447.0,High
Hagaribommanahalli,0.0,2691.0,1466.0,210.0,0.0,43118.0,21821.0,404.0,1933.0,71643.0,High
Hospet,0.0,930.0,366.0,39.0,19.0,5350.0,16329.0,186.0,1091.0,24310.0,Medium
Siraguppa,0.0,900.0,784.0,0.0,168.0,1015.0,1200.0,232.0,451.0,4750.0,Low
Ballari,0.0,1703.0,840.0,274.0,51.0,1075.0,279.0,1499.0,942.0,6663.0,Medium
Sonduru,0.0,3447.0,782.0,0.0,270.0,38140.0,2475.0,1176.0,2879.0,49169.0,High
Kudligi,0.0,9969.0,1096.0,126.0,138.0,29629.0,1576.0,488.0,2544.0,45566.0,High
Kurugodu,0.0,8.0,0.0,0.0,11.0,346.0,294.0,0.0,16.0,675.0,Low
Kotturu,0.0,2950.0,530.0,134.0,133.0,29090.0,1836.0,435.0,1657.0,36765.0,High
Kampli,0.0,202.0,291.0,18.0,12.0,294.0,54264.0,302.0,324.0,55707.0,High
Harapanahalli,0.0,15092.0,360.0,130.0,42.0,84435.0,7260.0,1070.0,6326.0,114715.0,High
Molakalmuru,0.0,1704.0,1542.0,0.0,137.0,1044.0,1665.0,9.0,374.0,6475.0,Medium
Challakere,0.0,38250.0,3460.0,253.0,0.0,251736.0,1445.0,116.0,2982.0,298242.0,High
Chitradurga,0.0,3197.0,669.0,549.0,187.0,174070.0,2694.0,504.0,12378.0,194248.0,High
Holalkere,0.0,2246.0,739.0,0.0,0.0,46369.0,488.0,290.0,282.0,50414.0,High
Hosadurga,0.0,7600.0,1815.0,1060.0,207.0,27545.0,1130.0,566.0,4478.0,44401.0,High
Hiriyur,0.0,9242.0,700.0,0.0,0.0,78894.0,0.0,0.0,0.0,88836.0,High
Harihar,0.0,1920.0,300.0,30.0,25.0,1870.0,750.0,505.0,1341.0,6741.0,Medium
Jagaluru,0.0,1958.0,775.0,22.0,38.0,58875.0,3190.0,198.0,359.0,65415.0,High
Davanagere,182.0,20261.0,1566.0,43.0,24.0,1857.0,1285.0,252.0,2933.0,28403.0,High
Honnali,17.0,8580.0,0.0,0.0,0.0,0.0,1560.0,5.0,410.0,10572.0,Medium
Channagiri,113.0,279.0,41.0,1.0,0.0,4762.0,197.0,11.0,101.0,5505.0,Medium
Nyamati,17.0,31720.0,900.0,1600.0,440.0,10200.0,5000.0,96.0,2274.0,52247.0,High
Sagara,0.0,0.0,0.0,0.0,0.0,0.0,16.0,92.0,40.0,148.0,Low
Soraba,60.0,38.0,71.0,0.0,0.0,0.0,20.0,300.0,43.0,532.0,Low
Shikaripura,0.0,2232.0,536.0,93.0,4.0,47.0,1087.0,139.0,282.0,4420.0,Low
Hosanagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,Low
Thirthahalli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,Low
Shimoga,0.0,551.0,134.0,23.0,25.0,0.0,225.0,146.0,348.0,1452.0,Low
Bhadravathi,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,13.0,23.0,Low
Kundapur,0.0,0.0,20.0,0.0,0.0,0.0,8.0,820.0,467.0,1315.0,Low
Udupi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,214.0,646.0,Low
Karkala,0.0,0.0,20.0,0.0,0.0,0.0,0.0,756.0,292.0,1068.0,Low
Bynduru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,156.0,501.0,Low
Bramhavara,0.0,0.0,314.0,0.0,0.0,0.0,75.0,1036.0,662.0,2087.0,Low
Kapu,0.0,0.0,294.0,0.0,0.0,0.0,8.0,237.0,117.0,656.0,Low
Hebri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,117.0,354.0,Low
Sringeri,4.5,2196.0,620.0,82.0,6.0,951.5,681.0,84.0,417.5,5042.5,Low
Koppa,4.5,2196.0,620.0,82.0,6.0,951.5,681.0,84.0,417.5,5042.5,Low
Narasimharajapura,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,Low
Tarikere,53675.0,30132.0,29.0,1070.0,0.0,744.0,58.0,0.0,274.0,85982.0,High
Kadur,22775.0,24791.0,735.0,286.0,58.0,43872.0,327.0,38.0,1851.0,94733.0,High
Chikmagalur,3028.0,34650.0,1365.0,1962.0,9.0,13564.0,1512.0,30.0,1451.0,57571.0,High
Mudigere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Ajjampura,5919.0,7218.0,46.0,79.0,1.0,116707.0,106.0,0.0,32.0,130108.0,High
Chiknayakanahalli,0.0,1848.0,235.0,45.0,0.0,961.0,1961.0,8.0,93.0,5151.0,Low
Sira,44.0,10524.0,1225.0,176.0,0.0,12867.0,4260.0,92.0,3646.0,32834.0,High
Pavagada,0.0,215490.0,5454.0,466.0,37.0,1207.0,16045.0,16.0,1195.0,239910.0,High
Madhugiri,215.0,4612.0,960.0,905.0,0.0,180.0,400.0,14.0,449.0,7735.0,Medium
Koratagere,0.0,3369.0,386.0,144.0,0.0,0.0,400.0,27.0,247.0,4573.0,Low
Tumkur,45.0,4455.0,690.0,344.0,0.0,8.0,295.0,26.0,158.0,6021.0,Medium
Gubbi,14.0,1659.0,243.0,527.0,0.0,24.0,381.0,25.0,543.0,3416.0,Low
Tiptur,35.0,2440.0,194.0,191.0,0.0,0.0,250.0,62.0,243.0,3415.0,Low
Turuvekere,0.0,945.0,4.0,64.0,0.0,4.0,188.0,1.0,19.0,1225.0,Low
Kunigal,0.0,2684.0,671.0,282.0,0.0,21.0,426.0,5.0,1672.0,5761.0,Medium
Srinivaspura,4907.0,178567.0,2376.0,804.0,2.0,401.0,1597.0,1740.0,2968.0,193362.0,High
Kolar,7112.0,114432.0,2134.0,1711.0,2.0,59.0,2324.0,2294.0,5254.0,135322.0,High
Malur,12024.0,98625.0,2309.0,10725.0,2.0,180.0,1594.0,5633.0,9025.0,140117.0,High
Bangarpet,8545.0,104295.0,1537.0,2729.0,37.0,87.0,1140.0,463.0,1855.0,120688.0,High
Mulabagilu,18981.0,142008.0,6059.0,3328.0,2.0,172.0,3539.0,1075.0,4631.0,179795.0,High
K.G.F,6182.0,43277.0,1797.0,1202.0,251.0,66.0,925.0,290.0,1599.0,55589.0,High
Bangalore (North),0.0,8000.0,490.0,2250.0,60.0,0.0,300.0,30.0,2050.0,13180.0,Medium
Bangalore-South,0.0,6000.0,400.0,400.0,300.0,0.0,600.0,400.0,0.0,8100.0,Medium
Anekal,950.0,22500.0,1350.0,5950.0,600.0,200.0,380.0,5400.0,650.0,37980.0,High
Bangalore-East,120.0,340.0,260.0,320.0,10.0,0.0,120.0,250.0,100.0,1520.0,Low
Yelahanka,40.0,5850.0,510.0,1680.0,100.0,0.0,620.0,780.0,4750.0,14330.0,Medium
Nelamangala,2760.0,7317.0,508.0,2970.0,174.0,0.0,546.0,712.0,3467.0,18454.0,Medium
Doddaballapura,6755.0,32878.0,918.0,2730.0,15.0,1013.0,752.0,2398.0,4114.0,51573.0,High
Devanahalli,2960.0,8770.0,341.0,2064.0,0.0,230.0,616.0,1034.0,5812.0,21827.0,Medium
Hoskote,5818.0,16185.0,870.0,2888.0,198.0,76.0,744.0,1425.0,2340.0,30544.0,High
Krishnarajpet,33.0,9837.0,935.0,1915.0,0.0,7.0,187.0,4.0,5555.0,18473.0,Medium
Nagamangala,859.0,12882.0,865.0,944.0,0.0,1332.0,206.0,0.0,584.0,17672.0,Medium
Pandavpura,4.0,28984.0,2012.0,5328.0,41.0,199.0,682.0,45.0,7147.0,44442.0,High
Srirangapatna,16.0,12250.0,1063.0,1842.0,0.0,8.0,305.0,91.0,2453.0,18028.0,Medium
Mandya,41.0,14648.0,2000.0,1359.0,0.0,325.0,1282.0,34.0,1707.0,21396.0,Medium
Maddur,21.0,2457.0,218.0,68.0,0.0,22.0,140.0,15.0,459.0,3400.0,Low
Malavalli,36.0,17768.0,1223.0,1659.0,8.0,155.0,1115.0,15.0,2770.0,24749.0,Medium
Sakleshpura,0.0,0.0,0.0,660.0,0.0,0.0,3840.0,0.0,0.0,4500.0,Low
Belur,10964.0,7625.0,1425.0,5869.0,18.0,0.0,4290.0,1250.0,2635.0,34076.0,High
Arsikere,10519.0,15881.0,619.0,420.0,0.0,1043.0,719.0,209.0,1232.0,30642.0,High
Hassan,79899.0,2451.0,72.0,1060.0,11.0,148.0,1210.0,170.0,9078.0,94099.0,High
Alur,1309.0,330.0,75.0,40.0,0.0,0.0,256.0,70.0,158.0,2238.0,Low
Arkalgud,15816.0,1014.0,195.0,410.0,0.0,0.0,5580.0,0.0,1977.0,24992.0,Medium
Holenarasipura,8916.0,11250.0,4100.0,2650.0,413.0,140.0,10080.0,5375.0,30320.0,73244.0,High
Channarayapatna,7268.0,4669.0,0.0,298.0,0.0,0.0,1100.0,318.0,1000.0,14653.0,Medium
Mangalore,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,40.0,Low
Bantwal,0.0,0.0,10.0,0.0,0.0,0.0,2.0,48.0,42.0,102.0,Low
Belthangady,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,37.0,47.0,Low
Puttur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,18.0,Low
Sulya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,39.0,Low
Mudabidri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,10.0,Low
Kadaba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,17.0,Low
Madikeri,2.0,0.0,0.0,12.0,0.0,0.0,3.0,1.0,6.0,24.0,Low
Somawarpet,269.0,0.0,10.0,0.0,0.0,0.0,209.0,0.0,30.0,518.0,Low
Virajpet,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Low
Piriyapatna,2540.0,2367.0,275.0,226.0,0.0,7.0,4613.0,92.0,2522.0,12642.0,Medium
Hunsur,84.0,20385.0,614.0,998.0,8.0,22.0,8750.0,11.0,6436.0,37308.0,High
K.R.Nagar,112.0,12956.0,710.0,2335.0,0.0,0.0,2740.0,29.0,3862.0,22744.0,Medium
Mysuru,44.0,49270.0,4563.0,4785.0,95.0,0.0,2310.0,52.0,9931.0,71050.0,High
Heggadadevanakote,60.0,20396.0,2874.0,1185.0,0.0,0.0,1398.0,4.0,2838.0,28755.0,High
Nanjangud,205.0,52107.0,3410.0,1832.0,35.0,845.0,5085.0,102.0,3959.0,67580.0,High
T.Narasipura,119.0,8774.0,850.0,826.0,0.0,140.0,438.0,52.0,1369.0,12568.0,Medium
Saraguru,0.0,6163.0,235.0,175.0,0.0,4.0,658.0,1.0,295.0,7531.0,Medium
Gundlupet,7137.0,81822.0,4582.0,6560.0,0.0,21433.0,3481.0,55.0,3195.0,128265.0,High
Chamarajanagara,1074.0,53808.0,2885.0,2117.0,0.0,8085.0,4533.0,40.0,6530.0,79072.0,High
Yalandur,93.0,1259.0,354.0,174.0,0.0,534.0,30.0,21.0,187.0,2652.0,Low
Kollegala,197.0,6798.0,1618.0,454.0,0.0,20708.0,381.0,29.0,365.0,30550.0,High
Kollegala(Hanur),7412.0,10936.0,3848.0,0.0,0.0,46076.0,3781.0,23.0,1135.0,73211.0,High
Gauribidanur,2056.0,36671.0,5729.0,1908.0,0.0,1632.0,7006.0,77.0,5475.0,60554.0,High
Chikballapur,19400.0,16860.0,898.0,3213.0,0.0,318.0,2208.0,0.0,3201.0,46098.0,High
Gudibande,11382.0,26991.0,2424.0,2458.0,0.0,942.0,367.0,562.0,1075.0,46201.0,High
Bagepalli,1892.0,33144.0,2420.0,2424.0,24.0,5042.0,1089.0,0.0,1689.0,47724.0,High
Shidlagatta,7748.0,11115.0,588.0,1196.0,0.0,7900.0,780.0,196.0,3061.0,32584.0,High
Chinthamani,8266.0,153583.0,2073.0,3053.0,0.0,12526.0,3311.0,2185.0,4725.0,189722.0,High
Magadi,9.0,1855.0,1262.0,1404.0,1.0,24.0,314.0,11.0,1365.0,6245.0,Medium
Ramanagar,54.0,722.0,609.0,423.0,6.0,20.0,71.0,50.0,518.0,2473.0,Low
Channapatna,12.0,1356.0,131.0,107.0,0.0,26.0,575.0,12.0,558.0,2777.0,Low
Kanakpura,0.0,1316.0,133.0,334.0,0.0,23.0,154.0,5.0,253.0,2218.0,Low
Yadgir,36.0,1072.0,557.0,105.0,108.0,2617.0,89.0,17.0,654.0,5255.0,Medium
Shahapur,185.0,2355.0,2160.0,360.0,361.0,1041.0,3580.0,54.0,737.0,10833.0,Medium
Shorapur,192.0,5218.0,1829.0,96.0,92.0,6363.0,1416.0,181.0,809.0,16196.0,Medium
Gurumithakala,17.0,532.0,396.0,60.0,60.0,1536.0,65.0,10.0,393.0,3069.0,Low
Vadagera,112.0,1475.0,1143.0,200.0,200.0,720.0,2600.0,34.0,352.0,6836.0,Medium
Hunisigi,56.0,2160.0,1134.0,60.0,60.0,2542.0,1040.0,54.0,245.0,7351.0,Medium
State Total,437286.0,2452402.0,269849.0,131220.0,16127.0,3536327.0,688381.0,95457.0,345137.0,7972186.0,High
